Id,song_name,arcs,artist,youtube_link
1,We Are,"['East Blue']",Hiroshi Kitadani,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=0s
2,Believe,"['East Blue', 'Alabasta']",older5,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=111s
3,Hikari e,"['Skypeia']",The Babystars,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=222s
4,Bon Voyage!,"['Skypeia']",Bon-Bon Blanco,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=333s
5,Kokoro no Chizu,"['Water 7']",BOYSTYLE,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=444s
6,Brand New World,"['Water 7']",D-5,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=556s
7,We Are! (Straw Hat Pirates Version),"['Water 7']",Straw Hat Pirates,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=669s
8,Crazy Rainbow,"['Water 7']",Tackey & Tsubasa,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=782s
9,Jungle P,"['Thriller Bark']",5050,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=933s
10,We Are! (Remix),"['Thriller Bark', 'Summit War']",TVXQ,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1085s
11,Share the World!,"['Summit War']",TVXQ,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1236s
12,Kaze wo Sagashite,"['Summit War']",Straw Hat Crew and Mari Yaguchi,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1389s
13,One day,"['Summit War']",The Rootless,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1540s
14,Fight Together,"['Summit War']",Namie Amuro,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1689s
15,We Go!,"['Fish-Man Island']",Hiroshi Kitadani,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1840s
16,Hands Up!,"['Dressrosa']",Kouta Shinzato,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=1992s
17,Wake up!,"['Dressrosa']",AAA,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=2144s
18,Hard Knock Days,"['Dressrosa']",GENERATIONS from EXILE TRIBE,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=2296s
19,We Can!,"['Four Emperors']",Kishidan and Hiroshi Kitadani,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=2448s
20,Hope,"['Four Emperors']",Namie Amuro,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=2600s
21,Super Powers,"['Four Emperors']",V6,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=2752s
22,OVER THE TOP,"['Four Emperors']",Hiroshi Kitadani,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=2903s
23,DREAMIN' ON, "['Four Emperors']",Da-iCE,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=3023s
23.5,We Are! (Remake),"['Four Emperors']",Hiroshi Kitadani,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=3142s
24,PAINT,"['Four Emperors']",I Don't Like Mondays,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=3255s
25,Saiko Totatsuten,"['Four Emperors']",SEKAI NO OWARI,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=3376s
26,UUUUUS!,"['Four Emperors']",Hiroshi Kitadani,https://www.youtube.com/watch?v=1CV5vYtD6mA&t=3468s
